country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Australia,2000,AUS,19017968.0,691886620672.0,3.621,0.19,350.008,6.048,1.758,556.108,61.562,12.448,29.241,0.804,0.426,18.404,0.506,0.268,185.797,9.77,290.901,15.296,0.42,123.171,10581.659,21807.176,6235.02,80.648,770.155,11226.311,3339.95,32.716,68632.961,1.887,7.953,0.418,46.61,2.451,31.91,34.755,206.1,10.837,168.15,8.842,99.53,5.233,102.65,5.398,0.178,3.378,1305.259,0.502,1.373,1.801,2.018,0.669,1.011,1.257,1.187,0.715,0.631,1.619,0.914,0.81,2.29,0.985,3.834,0.999,1.561,1.704,0.007,0.01,0.019,0.002,660.97,606.86,-59.107,-16.887
Australia,2001,AUS,19248146.0,713625763840.0,3.541,0.184,357.783,7.776,2.222,467.79,-88.318,-15.881,24.303,0.656,0.356,18.588,0.501,0.272,190.082,9.875,299.607,15.565,0.42,126.711,10939.443,22274.965,6425.103,88.82,819.481,11336.317,3443.124,36.204,68338.281,1.843,8.172,0.425,49.326,2.563,33.018,34.679,110.007,5.715,177.94,9.245,109.89,5.709,103.174,5.36,0.181,3.488,1315.385,0.47,1.394,1.523,2.053,0.661,1.02,1.262,1.202,0.764,0.646,1.623,0.916,0.851,2.433,1.037,2.184,0.996,1.635,1.709,0.007,0.01,0.02,0.002,667.51,635.53,-58.177,-16.26
Australia,2002,AUS,19475842.0,746683498496.0,3.488,0.179,362.537,4.753,1.329,428.655,-39.135,-8.366,22.01,0.574,0.319,18.615,0.486,0.27,191.147,9.815,318.184,16.337,0.426,130.199,11301.979,22703.619,6616.249,96.828,870.07,11402.436,3548.576,40.057,68892.781,1.797,8.007,0.411,50.589,2.598,32.36,34.108,66.119,3.395,172.55,8.86,103.81,5.33,105.452,5.415,0.198,3.853,1341.745,0.446,1.381,1.355,1.974,0.653,1.029,1.263,1.216,0.811,0.661,1.62,0.919,0.896,2.466,1.031,1.228,1.02,1.781,1.708,0.007,0.01,0.02,0.003,664.29,630.23,-44.353,-12.234
Australia,2003,AUS,19699004.0,773868617728.0,3.584,0.182,369.442,6.905,1.905,592.411,163.755,38.202,30.073,0.766,0.435,18.754,0.477,0.271,195.386,9.919,334.779,16.995,0.433,133.783,11671.421,23296.031,6811.635,103.986,919.787,11625.404,3658.25,43.981,69082.789,1.759,7.158,0.363,49.717,2.524,27.949,29.843,222.969,11.319,134.52,6.829,65.23,3.311,109.673,5.567,0.199,3.924,1360.862,0.417,1.336,1.769,1.857,0.643,1.037,1.272,1.228,0.846,0.673,1.638,0.922,0.938,2.077,0.978,3.822,1.033,1.775,1.701,0.007,0.01,0.02,0.003,587.87,550.56,-34.663,-9.382
Australia,2004,AUS,19925060.0,809419735040.0,3.555,0.178,382.873,13.432,3.636,568.784,-23.626,-3.988,28.546,0.703,0.405,19.216,0.473,0.273,202.225,10.149,344.481,17.289,0.426,137.338,12054.295,23864.816,7013.86,110.844,972.321,11811.314,3772.008,47.924,70486.32,1.735,6.858,0.344,52.534,2.637,30.561,32.09,185.911,9.331,151.88,7.623,85.45,4.289,113.759,5.709,0.198,3.943,1404.444,0.396,1.338,1.672,1.859,0.633,1.044,1.28,1.24,0.877,0.685,1.652,0.925,0.974,2.001,0.999,3.447,1.033,1.703,1.698,0.008,0.011,0.021,0.003,639.4,608.93,-38.393,-10.028
Australia,2005,AUS,20171732.0,840554577920.0,3.664,0.182,386.205,3.332,0.87,459.382,-109.403,-19.234,22.774,0.547,0.326,19.146,0.459,0.274,200.715,9.95,343.994,17.053,0.409,141.002,12440.5,24324.199,7214.576,117.758,1026.813,11884.492,3888.508,51.844,69917.164,1.678,6.914,0.343,54.492,2.701,28.31,29.818,73.176,3.628,133.37,6.612,62.61,3.104,116.499,5.775,0.194,3.92,1410.35,0.38,1.305,1.332,1.737,0.622,1.051,1.281,1.25,0.907,0.697,1.651,0.928,1.004,1.987,1.014,1.496,1.049,1.618,1.686,0.007,0.011,0.021,0.003,601.49,571.06,-42.212,-10.93
Australia,2006,AUS,20467032.0,868838998016.0,3.888,0.19,392.436,6.231,1.613,418.867,-40.515,-8.819,20.465,0.482,0.285,19.174,0.452,0.267,204.401,9.987,356.046,17.396,0.41,144.89,12832.936,24743.064,7418.976,124.804,1082.639,11910.922,4005.899,55.727,71863.758,1.693,7.046,0.344,55.826,2.728,29.987,31.724,26.43,1.291,154.45,7.546,84.77,4.142,117.392,5.736,0.19,3.883,1470.838,0.37,1.282,1.169,1.676,0.611,1.056,1.279,1.259,0.936,0.708,1.643,0.931,1.029,2.027,1.007,0.505,1.047,1.535,1.679,0.008,0.011,0.021,0.003,649.29,613.75,-36.39,-9.273
Australia,2007,AUS,20830832.0,913875861504.0,3.972,0.191,399.676,7.24,1.845,478.73,59.863,14.292,22.982,0.524,0.318,19.187,0.437,0.265,203.559,9.772,367.325,17.634,0.402,148.862,13232.612,25221.793,7622.535,132.309,1143.703,11989.975,4125.364,59.84,72304.695,1.648,7.504,0.36,61.064,2.931,29.657,31.184,79.054,3.795,150.36,7.218,77.99,3.744,119.464,5.735,0.197,4.113,1506.167,0.352,1.269,1.328,1.592,0.599,1.062,1.279,1.266,0.968,0.721,1.643,0.935,1.054,2.186,1.066,1.735,1.062,1.584,1.673,0.008,0.011,0.021,0.003,649.59,617.77,-32.352,-8.094
Australia,2008,AUS,21247876.0,942108901376.0,3.863,0.182,404.256,4.579,1.146,669.525,190.795,39.854,31.51,0.711,0.437,19.026,0.429,0.264,204.688,9.633,362.791,17.074,0.385,152.724,13636.868,25891.32,7827.223,139.791,1205.507,12255.244,4247.652,63.971,72089.344,1.626,7.483,0.352,61.803,2.909,27.782,29.202,265.269,12.484,133.42,6.279,61.66,2.902,122.288,5.755,0.194,4.131,1531.745,0.338,1.262,1.82,1.55,0.588,1.067,1.289,1.272,0.998,0.733,1.669,0.939,1.078,2.235,1.049,5.595,1.091,1.589,1.667,0.008,0.011,0.022,0.003,620.49,590.31,-41.465,-10.257
Australia,2009,AUS,21660898.0,964937515008.0,3.829,0.177,407.477,3.221,0.797,513.325,-156.199,-23.33,23.698,0.532,0.34,18.812,0.422,0.27,206.066,9.513,394.426,18.209,0.409,156.553,14044.346,26404.645,8033.289,147.757,1268.989,12361.093,4370.016,67.74,69689.844,1.564,7.966,0.368,63.482,2.931,27.936,29.465,105.848,4.887,138.83,6.409,66.92,3.089,122.364,5.649,0.174,3.769,1509.545,0.326,1.294,1.398,1.581,0.576,1.072,1.291,1.279,1.031,0.745,1.671,0.943,1.096,2.411,1.104,2.021,1.116,1.545,1.659,0.008,0.012,0.022,0.003,638.23,605.11,-13.051,-3.203
Australia,2010,AUS,22019166.0,994067742720.0,3.549,0.161,405.512,-1.965,-0.482,930.031,416.706,81.178,42.237,0.936,0.616,18.416,0.408,0.269,200.552,9.108,394.982,17.938,0.397,160.102,14449.857,27334.676,8233.841,155.947,1333.621,12885.611,4494.566,71.779,68523.875,1.518,8.19,0.372,64.632,2.935,26.771,28.145,524.519,23.821,129.67,5.889,54.45,2.473,124.551,5.656,0.183,4.039,1508.839,0.283,1.218,2.417,1.439,0.563,1.076,1.312,1.282,1.062,0.756,1.73,0.947,1.117,2.399,1.044,10.131,1.099,1.641,1.652,0.008,0.012,0.022,0.003,619.73,589.47,-10.53,-2.597
Australia,2011,AUS,22357032.0,1026035417088.0,3.496,0.156,404.257,-1.255,-0.31,672.947,-257.085,-27.643,30.1,0.656,0.432,18.082,0.394,0.259,192.141,8.594,394.039,17.625,0.384,163.598,14854.114,28007.623,8425.981,163.821,1400.489,13154.302,4624.368,75.856,69714.188,1.519,7.874,0.352,66.868,2.991,30.863,29.609,268.69,12.018,178.12,7.967,107.79,4.821,129.801,5.806,0.182,4.077,1558.602,0.259,1.174,1.697,1.304,0.549,1.078,1.319,1.283,1.089,0.766,1.754,0.951,1.132,2.19,1.049,5.149,1.144,1.482,1.651,0.008,0.012,0.023,0.003,661.98,690.0,-10.218,-2.528
Australia,2012,AUS,22729272.0,1064162361344.0,3.518,0.155,406.58,2.323,0.575,565.165,-107.782,-16.016,24.865,0.531,0.368,17.888,0.382,0.265,189.154,8.322,401.7,17.673,0.377,167.116,15260.694,28572.787,8615.137,172.108,1468.58,13312.887,4758.049,79.705,67583.031,1.443,8.287,0.365,68.09,2.996,30.375,29.169,158.585,6.977,177.6,7.814,107.45,4.727,133.681,5.881,0.169,3.848,1536.113,0.254,1.164,1.403,1.27,0.536,1.08,1.321,1.282,1.117,0.776,1.763,0.956,1.142,2.196,1.047,2.967,1.163,1.391,1.647,0.008,0.012,0.023,0.003,662.98,690.4,-4.879,-1.2
Australia,2013,AUS,23111788.0,1087110184960.0,3.294,0.143,399.288,-7.292,-1.793,556.81,-8.355,-1.478,24.092,0.512,0.358,17.276,0.367,0.257,176.363,7.631,380.626,16.469,0.35,170.41,15659.981,29129.598,8791.5,180.955,1538.45,13470.408,4895.36,83.307,67307.039,1.431,8.846,0.383,69.87,3.023,26.146,25.01,157.522,6.816,142.24,6.154,64.52,2.792,137.311,5.941,0.156,3.602,1555.586,0.228,1.133,1.389,1.177,0.523,1.082,1.322,1.28,1.145,0.785,1.772,0.961,1.145,2.295,1.069,3.242,1.185,1.223,1.635,0.008,0.013,0.023,0.003,578.02,604.29,-18.662,-4.674
Australia,2014,AUS,23469578.0,1117472423936.0,3.138,0.134,393.049,-6.239,-1.562,475.239,-81.57,-14.65,20.249,0.425,0.303,16.747,0.352,0.251,168.146,7.164,380.008,16.192,0.34,173.548,16053.032,29604.836,8959.646,190.227,1609.222,13552.598,5033.044,87.344,66744.195,1.402,9.273,0.395,70.772,3.015,26.478,25.331,82.19,3.502,155.18,6.612,76.54,3.261,137.684,5.866,0.172,4.037,1566.458,0.209,1.108,1.168,1.121,0.509,1.082,1.319,1.277,1.175,0.794,1.771,0.966,1.152,2.396,1.065,1.576,1.185,1.322,1.624,0.008,0.013,0.023,0.003,594.51,621.42,-13.041,-3.318
Australia,2015,AUS,23820240.0,1145386827776.0,3.076,0.129,401.378,8.329,2.119,437.515,-37.724,-7.938,18.367,0.382,0.273,16.85,0.35,0.251,174.205,7.313,381.73,16.025,0.333,176.624,16454.41,30042.352,9133.851,201.055,1680.722,13588.735,5170.755,91.402,67234.93,1.398,10.828,0.455,71.501,3.002,26.116,24.951,36.137,1.517,151.88,6.376,72.58,3.047,137.711,5.781,0.17,4.058,1601.552,0.213,1.132,1.065,1.188,0.497,1.084,1.315,1.275,1.213,0.803,1.762,0.971,1.16,2.818,1.054,0.642,1.159,1.336,1.613,0.008,0.013,0.024,0.003,594.35,622.09,-19.648,-4.895
Australia,2016,AUS,24195706.0,1176481300480.0,2.931,0.121,410.254,8.875,2.211,500.961,63.446,14.501,20.705,0.426,0.312,16.956,0.349,0.255,179.562,7.421,371.361,15.348,0.316,179.555,16864.664,30543.312,9313.412,213.495,1754.658,13679.443,5308.195,95.348,66407.094,1.366,12.44,0.514,73.936,3.056,24.824,25.002,90.708,3.749,135.53,5.601,58.32,2.41,137.44,5.68,0.163,3.946,1606.766,0.198,1.157,1.251,1.253,0.485,1.085,1.314,1.274,1.26,0.811,1.764,0.974,1.165,3.324,1.061,1.972,1.145,1.313,1.602,0.008,0.013,0.024,0.003,604.94,600.64,-38.893,-9.48
Australia,2017,AUS,24590336.0,1205343092736.0,3.019,0.123,413.655,3.402,0.829,458.144,-42.817,-8.547,18.631,0.38,0.286,16.822,0.343,0.258,176.932,7.195,377.181,15.339,0.313,182.574,17278.318,31001.457,9490.345,228.357,1830.089,13723.932,5447.676,99.278,65146.316,1.329,14.861,0.604,75.431,3.068,26.332,26.481,44.489,1.809,158.05,6.427,80.09,3.257,139.481,5.672,0.16,3.93,1601.97,0.201,1.148,1.129,1.221,0.474,1.087,1.31,1.273,1.317,0.819,1.759,0.978,1.17,3.835,1.059,0.975,1.141,1.298,1.593,0.008,0.013,0.024,0.003,651.17,647.52,-36.475,-8.818
Australia,2018,AUS,24979228.0,1238559621120.0,2.942,0.118,415.351,1.695,0.41,438.926,-19.218,-4.195,17.572,0.354,0.27,16.628,0.335,0.256,169.394,6.781,364.888,14.608,0.295,185.516,17693.67,31440.383,9659.739,245.282,1908.558,13747.507,5591.367,103.208,65072.668,1.312,16.926,0.678,78.468,3.141,25.713,25.886,23.575,0.944,157.3,6.297,77.81,3.115,143.691,5.752,0.157,3.93,1625.465,0.188,1.13,1.069,1.15,0.463,1.088,1.306,1.271,1.383,0.826,1.752,0.982,1.174,4.156,1.047,0.55,1.171,1.296,1.583,0.008,0.014,0.024,0.003,646.62,642.28,-50.462,-12.149
Australia,2019,AUS,25357168.0,,3.04,0.12,415.811,0.461,0.111,425.544,-13.382,-3.049,16.782,,0.253,16.398,,0.247,164.947,6.505,362.199,14.284,,188.555,18109.48,31865.928,9824.687,265.482,1989.219,13757.24,5734.432,107.107,66263.539,,20.199,0.797,80.661,3.181,24.198,25.093,9.733,0.384,153.87,6.068,72.2,2.847,143.064,5.642,0.154,3.899,1680.256,0.188,1.123,1.022,1.123,0.452,1.088,1.302,1.268,1.461,0.834,1.743,0.986,1.178,4.639,1.058,0.212,1.156,1.278,1.568,0.008,0.014,0.024,0.003,636.3,613.6,-53.612,-12.893
Australia,2020,AUS,25670052.0,,2.82,0.11,396.685,-19.126,-4.6,400.012,-25.532,-6.0,15.583,,0.252,15.453,,0.25,156.681,6.104,353.474,13.77,,191.375,18506.166,32265.939,9981.367,280.033,2072.698,13760.567,5869.811,110.88,61826.211,,14.552,0.567,83.48,3.252,22.279,22.806,3.327,0.13,136.75,5.327,55.06,2.145,135.38,5.274,0.147,3.773,1587.082,0.173,1.133,1.018,1.101,0.442,1.089,1.297,1.265,1.508,0.842,1.734,0.991,1.181,3.651,1.105,0.077,1.242,1.279,1.552,0.008,0.014,0.025,0.003,585.42,571.9,-43.212,-10.893
Australia,2021,AUS,25921094.0,,2.9,0.112,386.607,-10.078,-2.541,380.45,-19.562,-4.89,14.677,,0.239,14.915,,0.243,151.543,5.846,338.309,13.051,,194.276,18892.773,32646.391,10132.91,293.313,2152.858,13754.411,6004.499,114.918,61439.91,,13.28,0.512,80.159,3.092,,,-6.156,-0.238,,,,,134.687,5.196,0.156,4.037,1592.59,0.171,1.05,0.925,1.011,0.431,1.088,1.291,1.26,1.546,0.847,1.724,0.994,1.186,3.292,1.012,-0.142,1.17,1.34,1.535,0.008,0.014,0.025,0.003,,,-48.298,-12.493
Australia,2022,AUS,26177410.0,,2.9,0.111,392.279,5.672,1.467,376.878,-3.573,-0.939,14.397,,0.227,14.985,,0.236,144.105,5.505,,,,197.176,19285.053,33023.266,10277.016,306.594,2236.357,13739.009,6148.955,118.955,63458.84,,13.28,0.507,83.499,3.19,,,-15.402,-0.588,,,,,144.457,5.518,0.154,4.037,1661.188,0.181,1.056,0.909,0.947,0.423,1.088,1.285,1.255,1.582,0.854,1.713,0.998,1.191,3.341,1.078,-0.357,1.216,1.34,,,,,,,,,
Brazil,2000,BRA,175873712.0,1734491242496.0,16.047,0.091,340.183,12.927,3.95,2299.381,-191.124,-7.674,13.074,1.326,0.976,1.934,0.196,0.144,50.46,0.287,350.273,1.992,0.202,378.23,7463.198,91739.977,1262.599,136.32,172.618,88434.781,5467.51,45.921,13400.32,1.359,10.737,0.061,18.442,0.105,4.391,10.314,1959.198,11.14,333.94,1.899,124.64,0.709,239.488,1.362,0.028,5.008,2356.764,2.224,1.334,7.447,0.548,2.054,0.713,5.287,0.24,1.208,0.141,12.756,1.496,1.137,3.092,0.39,36.446,2.33,2.315,4.656,0.017,0.034,0.053,0.002,1813.94,772.34,10.09,2.966
Brazil,2001,BRA,178211888.0,1780379287552.0,15.227,0.085,346.166,5.983,1.759,2227.689,-71.693,-3.118,12.5,1.251,0.969,1.942,0.194,0.151,49.427,0.277,343.085,1.925,0.193,393.457,7809.364,93967.664,1312.026,148.041,195.803,90316.297,5709.305,50.732,12893.828,1.291,11.721,0.066,23.186,0.13,4.473,10.684,1881.523,10.558,347.57,1.95,132.72,0.745,241.795,1.357,0.027,4.811,2297.833,2.02,1.348,7.254,0.534,2.053,0.728,5.322,0.245,1.274,0.154,12.934,1.519,1.193,3.49,0.487,37.36,2.335,2.255,4.689,0.017,0.035,0.054,0.002,1904.0,797.2,-3.081,-0.89
Brazil,2002,BRA,180476688.0,1857599307776.0,14.39,0.08,347.765,1.599,0.462,2328.348,100.659,4.519,12.901,1.253,0.991,1.927,0.187,0.148,48.689,0.27,331.608,1.837,0.179,407.847,8157.129,96296.016,1360.715,159.259,225.096,92296.891,5948.524,55.688,13021.791,1.265,11.218,0.062,29.293,0.162,4.578,10.758,1980.583,10.974,371.36,2.058,147.54,0.818,239.219,1.325,0.027,4.956,2350.13,1.84,1.325,7.36,0.503,2.045,0.743,5.358,0.25,1.333,0.171,13.116,1.541,1.246,3.455,0.597,36.778,2.314,2.291,4.725,0.017,0.036,0.055,0.002,1941.57,826.21,-16.157,-4.646
Brazil,2003,BRA,182629280.0,1902060896256.0,13.096,0.072,344.645,-3.12,-0.897,3318.011,989.663,42.505,18.168,1.744,1.386,1.887,0.181,0.144,51.933,0.284,324.032,1.774,0.17,420.943,8501.773,99614.023,1412.648,170.458,256.015,95270.25,6180.958,60.752,13111.923,1.259,11.199,0.061,30.919,0.169,4.608,10.707,2973.366,16.281,387.02,2.119,152.26,0.834,232.434,1.273,0.028,5.064,2394.621,1.523,1.247,9.91,0.494,2.023,0.755,5.441,0.255,1.387,0.187,13.427,1.558,1.295,3.25,0.608,50.97,2.189,2.291,4.775,0.018,0.037,0.057,0.002,1955.42,841.52,-20.613,-5.981
Brazil,2004,BRA,184722048.0,2036566851584.0,13.273,0.072,361.434,16.789,4.871,2613.293,-704.717,-21.239,14.147,1.283,1.041,1.957,0.177,0.144,53.833,0.291,336.389,1.821,0.165,434.216,8863.208,102227.32,1466.48,181.298,294.23,97522.109,6420.726,66.257,13593.7,1.233,10.84,0.059,38.215,0.207,4.8,10.84,2251.86,12.191,404.45,2.19,163.67,0.886,239.768,1.298,0.03,5.505,2511.056,1.477,1.263,7.683,0.495,2.001,0.768,5.482,0.259,1.435,0.207,13.641,1.575,1.346,3.164,0.726,41.749,2.178,2.377,4.818,0.018,0.038,0.058,0.002,2002.36,886.64,-25.045,-6.929
Brazil,2005,BRA,186797344.0,2127880912896.0,14.349,0.077,364.371,2.937,0.813,2323.059,-290.235,-11.106,12.436,1.092,0.902,1.951,0.171,0.141,50.948,0.273,350.011,1.874,0.164,448.565,9227.579,104550.375,1517.429,195.175,333.85,99480.797,6660.947,71.613,13792.465,1.211,13.877,0.074,39.619,0.212,4.804,10.797,1958.688,10.486,414.53,2.219,164.57,0.881,240.221,1.286,0.029,5.356,2576.396,1.489,1.231,6.737,0.441,1.979,0.779,5.504,0.263,1.504,0.227,13.82,1.59,1.387,3.988,0.737,40.039,2.162,2.211,4.853,0.019,0.039,0.06,0.002,2016.91,897.37,-14.36,-3.941
Brazil,2006,BRA,188820688.0,2239747850240.0,15.44,0.082,368.871,4.5,1.235,2037.965,-285.094,-12.272,10.793,0.91,0.77,1.954,0.165,0.139,50.838,0.269,359.234,1.903,0.16,464.005,9596.45,106588.344,1568.267,208.057,375.902,101149.891,6903.196,77.023,14020.683,1.182,12.882,0.068,42.053,0.223,4.752,10.629,1669.094,8.84,407.21,2.157,157.26,0.833,242.249,1.283,0.029,5.41,2647.395,1.469,1.205,5.686,0.417,1.956,0.79,5.508,0.266,1.561,0.246,13.951,1.605,1.422,3.707,0.759,31.885,2.161,2.139,4.878,0.019,0.04,0.061,0.002,2006.99,897.37,-9.637,-2.613
Brazil,2007,BRA,190779456.0,2405103566848.0,17.2,0.09,390.573,21.702,5.883,1900.441,-137.524,-6.748,9.961,0.79,0.674,2.047,0.162,0.139,54.989,0.288,392.966,2.06,0.163,481.205,9987.022,108488.789,1623.256,221.526,419.148,102659.758,7159.199,82.689,14770.351,1.172,13.469,0.071,43.246,0.227,4.831,10.717,1509.868,7.914,414.45,2.172,169.83,0.89,256.003,1.342,0.03,5.666,2817.879,1.523,1.24,5.271,0.43,1.936,0.801,5.504,0.27,1.62,0.264,14.071,1.622,1.457,3.923,0.755,33.14,2.276,2.182,4.897,0.019,0.041,0.063,0.002,2044.52,921.6,2.393,0.613
Brazil,2008,BRA,192672320.0,2559006998528.0,18.884,0.098,412.638,22.065,5.649,1728.722,-171.719,-9.036,8.972,0.676,0.588,2.142,0.161,0.14,55.315,0.287,443.203,2.3,0.173,500.089,10399.661,110217.5,1678.571,235.733,470.451,103975.844,7426.438,88.379,15255.087,1.149,14.207,0.074,51.303,0.266,4.864,10.615,1316.084,6.831,407.24,2.114,155.85,0.809,267.239,1.387,0.03,5.69,2939.233,1.652,1.288,4.7,0.419,1.924,0.814,5.489,0.273,1.683,0.286,14.159,1.641,1.489,4.244,0.87,27.761,2.385,2.189,4.911,0.02,0.042,0.064,0.002,2045.15,937.15,30.565,7.407
Brazil,2009,BRA,194517552.0,2587477671936.0,19.031,0.098,389.775,-22.863,-5.541,1546.42,-182.302,-10.545,7.95,0.598,0.53,2.004,0.151,0.134,43.586,0.224,413.825,2.127,0.16,519.12,10789.437,111763.922,1722.157,254.167,511.409,105132.492,7689.143,93.439,15004.24,1.128,18.434,0.095,40.959,0.211,4.697,10.373,1156.645,5.946,409.16,2.103,150.05,0.771,262.705,1.351,0.026,5.06,2918.588,1.619,1.238,4.21,0.334,1.911,0.824,5.466,0.274,1.773,0.3,14.215,1.659,1.512,5.579,0.713,22.09,2.397,2.073,4.921,0.02,0.042,0.065,0.002,2017.82,913.69,24.05,6.17
Brazil,2010,BRA,196353504.0,2816706084864.0,21.288,0.108,440.269,50.494,12.955,1445.519,-100.901,-6.525,7.362,0.513,0.454,2.242,0.156,0.138,56.688,0.289,484.823,2.469,0.172,540.408,11229.705,113209.445,1778.846,269.381,566.458,106137.742,7975.223,99.389,16220.931,1.131,15.214,0.077,55.049,0.28,5.092,10.812,1005.25,5.12,438.27,2.232,177.4,0.903,286.08,1.457,0.03,5.95,3185.037,1.696,1.322,3.756,0.407,1.901,0.836,5.434,0.277,1.835,0.321,14.251,1.68,1.546,4.456,0.889,19.416,2.525,2.417,4.929,0.021,0.043,0.066,0.003,2122.88,999.92,44.554,10.12
Brazil,2011,BRA,198185296.0,2965069889536.0,22.845,0.115,462.58,22.311,5.068,1429.526,-15.993,-1.106,7.213,0.482,0.434,2.334,0.156,0.14,62.292,0.314,519.211,2.62,0.175,563.253,11692.285,114638.969,1841.138,283.501,619.559,107104.68,8279.108,105.726,16629.84,1.112,14.12,0.071,53.101,0.268,5.144,6.49,966.946,4.879,429.81,2.169,168.0,0.848,303.885,1.533,0.032,6.337,3295.79,1.693,1.343,3.605,0.423,1.892,0.849,5.4,0.28,1.885,0.339,14.281,1.703,1.577,3.928,0.833,18.531,2.678,2.304,4.93,0.021,0.044,0.067,0.003,1286.3,1019.42,56.631,12.243
Brazil,2012,BRA,199977712.0,3022025654272.0,24.998,0.125,498.309,35.729,7.724,1586.254,156.728,10.964,7.932,0.525,0.468,2.492,0.165,0.147,61.016,0.305,553.398,2.767,0.183,588.251,12190.594,116225.219,1902.154,298.262,682.955,108192.625,8606.843,112.129,16963.494,1.123,14.761,0.074,63.397,0.317,5.294,6.653,1087.945,5.44,434.35,2.172,171.55,0.858,327.734,1.639,0.032,6.403,3392.321,1.806,1.426,3.938,0.41,1.888,0.863,5.373,0.283,1.935,0.361,14.324,1.729,1.607,3.912,0.975,20.354,2.85,2.314,4.929,0.021,0.045,0.069,0.003,1330.37,1058.6,55.089,11.055
Brazil,2013,BRA,201721776.0,3112905998336.0,26.652,0.132,532.418,34.109,6.845,1744.127,157.873,9.953,8.646,0.56,0.502,2.639,0.171,0.153,65.604,0.325,591.119,2.93,0.19,614.903,12723.012,117969.352,1967.758,314.896,757.659,109404.344,8949.181,118.615,17221.439,1.116,16.634,0.082,74.704,0.37,5.399,6.713,1211.709,6.007,428.42,2.124,168.6,0.836,342.338,1.697,0.032,6.486,3473.939,1.847,1.511,4.35,0.438,1.886,0.879,5.354,0.286,1.993,0.387,14.392,1.757,1.631,4.315,1.143,24.939,2.955,2.202,4.929,0.022,0.045,0.07,0.003,1354.14,1089.19,58.701,11.025
Brazil,2014,BRA,203459648.0,3128572510208.0,26.908,0.132,557.901,25.483,4.786,1811.109,66.982,3.84,8.902,0.579,0.508,2.742,0.178,0.157,69.034,0.339,612.322,3.01,0.196,641.811,13280.913,119780.461,2036.792,332.538,838.945,110657.547,9305.934,124.893,17519.043,1.139,17.642,0.087,81.286,0.4,5.542,6.861,1253.208,6.159,436.81,2.147,177.2,0.871,356.753,1.753,0.031,6.278,3564.418,1.794,1.573,4.452,0.46,1.882,0.895,5.338,0.29,2.054,0.414,14.458,1.787,1.648,4.558,1.223,24.034,3.07,2.056,4.928,0.022,0.046,0.071,0.003,1395.95,1127.55,54.421,9.755
Brazil,2015,BRA,205188208.0,3270706200576.0,25.082,0.122,529.353,-28.548,-5.117,1855.354,44.246,2.443,9.042,0.567,0.528,2.58,0.162,0.151,69.452,0.338,548.136,2.671,0.168,666.893,13810.266,121635.812,2106.244,350.142,919.409,111983.547,9636.293,131.285,17140.15,1.075,17.604,0.086,80.465,0.392,5.388,6.725,1326.001,6.462,446.49,2.176,177.68,0.866,330.359,1.61,0.031,6.392,3516.957,1.736,1.493,4.515,0.474,1.876,0.909,5.323,0.294,2.113,0.439,14.524,1.809,1.666,4.581,1.186,23.551,2.78,2.105,4.926,0.022,0.047,0.072,0.003,1379.88,1105.48,18.783,3.548
Brazil,2016,BRA,206859584.0,2889037381632.0,22.415,0.108,492.748,-36.605,-6.915,1745.648,-109.706,-5.913,8.439,0.604,0.509,2.382,0.171,0.144,63.831,0.309,487.871,2.358,0.169,689.308,14303.014,123381.461,2170.075,367.647,989.075,113236.445,9949.232,137.677,16591.764,1.188,17.505,0.085,69.666,0.337,5.171,7.079,1252.9,6.057,447.89,2.165,176.2,0.852,312.939,1.513,0.031,6.392,3432.166,1.512,1.39,4.358,0.446,1.862,0.92,5.306,0.297,2.17,0.457,14.599,1.826,1.682,4.677,1.0,27.243,2.606,2.127,4.923,0.023,0.048,0.073,0.003,1464.26,1069.58,-4.877,-0.99
